id;status;person_sigla_unico;error
2025-87419;erro;VE;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2025-87419) already exists.\n"
2017-64501;erro;VE;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2017-64501) already exists.\n"
2012-307783;erro;VE;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2012-307783) already exists.\n"
2008-18237;erro;VE;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2008-18237) already exists.\n"
2007-31100;erro;VE;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2007-31100) already exists.\n"
2020-34000;erro;VN;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2020-34000) already exists.\n"
2013-44068;erro;VN;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2013-44068) already exists.\n"
2009-22555;erro;VN;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2009-22555) already exists.\n"
2001-14403;erro;YE;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2001-14403) already exists.\n"
2014-35530;erro;ZW;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2014-35530) already exists.\n"
2025-87419;erro;VE;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2025-87419) already exists.\n"
2017-64501;erro;VE;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2017-64501) already exists.\n"
2012-307783;erro;VE;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2012-307783) already exists.\n"
2008-18237;erro;VE;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2008-18237) already exists.\n"
2007-31100;erro;VE;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2007-31100) already exists.\n"
2020-34000;erro;VN;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2020-34000) already exists.\n"
2013-44068;erro;VN;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2013-44068) already exists.\n"
2009-22555;erro;VN;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2009-22555) already exists.\n"
2001-14403;erro;YE;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2001-14403) already exists.\n"
2014-35530;erro;ZW;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2014-35530) already exists.\n"
2025-87419;erro;VE;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2025-87419) already exists.\n"
2017-64501;erro;VE;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2017-64501) already exists.\n"
2012-307783;erro;VE;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2012-307783) already exists.\n"
2008-18237;erro;VE;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2008-18237) already exists.\n"
2007-31100;erro;VE;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2007-31100) already exists.\n"
2020-34000;erro;VN;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2020-34000) already exists.\n"
2013-44068;erro;VN;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2013-44068) already exists.\n"
2009-22555;erro;VN;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2009-22555) already exists.\n"
2001-14403;erro;YE;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2001-14403) already exists.\n"
2014-35530;erro;ZW;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2014-35530) already exists.\n"
2025-87419;erro;VE;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2025-87419) already exists.\n"
2017-64501;erro;VE;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2017-64501) already exists.\n"
2012-307783;erro;VE;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2012-307783) already exists.\n"
2008-18237;erro;VE;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2008-18237) already exists.\n"
2007-31100;erro;VE;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2007-31100) already exists.\n"
2020-34000;erro;VN;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2020-34000) already exists.\n"
2013-44068;erro;VN;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2013-44068) already exists.\n"
2009-22555;erro;VN;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2009-22555) already exists.\n"
2001-14403;erro;YE;"duplicate key value violates unique constraint ""constraint_unica""\nDETAIL: Key (id_interpol)=(2001-14403) already exists.\n"
